actor IMDB	year	movie IMDB	movie ID	award_year	Actor	Title	Time	Mins	Lead
				2021	Troy Kotsur	CODA	35:34:00	35.567	non-lead
				2023	Danielle Brooks	The Color Purple	24:19:00	24.317	non-lead
				1980	Michael O'Keefe	The Great Santini	54:07:00	54.117	non-lead
				1981	James Coco	Only When I Laugh	25:26:00	25.433	non-lead
				1982	John Lithgow	The World According to Garp	18:14	18.233	non-lead
				1983	Charles Durning	To Be or Not to Be	14:49	14.817	non-lead
				1983	Rip Torn	Cross Creek	24:22:00	24.367	non-lead
				1987	Morgan Freeman	Street Smart	29:45:00	29.75	non-lead
				1989	Marlon Brando	A Dry White Season	10:13	10.217	non-lead
				1990	Bruce Davison	Longtime Companion	30:25:00	30.417	non-lead
				1991	Michael Lerner	Barton Fink	10:06	10.1	non-lead
				1992	Al Pacino	Glengarry Glen Ross	34:22:00	34.367	non-lead
				1992	David Paymer	Mr. Saturday Night	42:49:00	42.817	non-lead
				1993	Leonardo DiCaprio	What's Eating Gilbert Grape	41:52:00	41.867	non-lead
				1994	Chazz Palminteri	Bullets Over Broadway	26:12:00	26.2	non-lead
				1995	Tim Roth	Rob Roy	36:39:00	36.65	non-lead
				1996	James Woods	Ghosts of Mississippi	16:36	16.6	non-lead
				1997	Greg Kinnear	As Good As It Gets	37:13:00	37.217	non-lead
				1997	Robert Forster	Jackie Brown	37:26:00	37.433	non-lead
				1998	Robert Duvall	A Civil Action	22:36	22.6	non-lead
				1998	Billy Bob Thornton	A Simple Plan	48:36:00	48.6	non-lead
				1999	Tom Cruise	Magnolia	30:58:00	30.967	non-lead
				2000	Willem Dafoe	Shadow of the Vampire	33:50:00	33.833	non-lead
				2000	Jeff Bridges	The Contender	36:15:00	36.25	non-lead
				2001	Jon Voight	Ali	14:39	14.65	non-lead
				2001	Ben Kingsley	Sexy Beast	28:32:00	28.533	non-lead
				2001	Jim Broadbent	Iris	38:38:00	38.633	non-lead
				2002	Chris Cooper	Adaptation	25:20:00	25.333	non-lead
				2003	Djimon Hounsou	In America	17:03	17.05	non-lead
				2003	Benicio Del Toro	21 Grams	29:04:00	29.067	non-lead
				2003	Alec Baldwin	The Cooler	31:48:00	31.8	non-lead
				2005	George Clooney	Syriana	27:51:00	27.85	non-lead
				2006	Djimon Hounsou	Blood Diamond	58:19:00	58.317	non-lead
				2007	Hal Holbrook	Into the Wild	13:50	13.833	non-lead
				2007	Casey Affleck	The Assassination of Jesse James by the Coward Robert Ford	1:02:40	62.667	non-lead
				2008	Philip Seymour Hoffman	Doubt	39:51:00	39.85	non-lead
				2009	Stanley Tucci	The Lovely Bones	26:59:00	26.983	non-lead
				2009	Christopher Plummer	The Last Station	37:17:00	37.283	non-lead
				2009	Matt Damon	Invictus	39:18:00	39.3	non-lead
				2009	Woody Harrelson	The Messenger	54:27:00	54.45	non-lead
				2011	Christopher Plummer	Beginners	21:13	21.217	non-lead
				2011	Max von Sydow	Extremely Loud and Incredibly Close	23:42	23.7	non-lead
				2011	Nick Nolte	Warrior	31:47:00	31.783	non-lead
				2014	Robert Duvall	The Judge	44:02:00	44.033	non-lead
				2016	Michael Shannon	Nocturnal Animals	25:27:00	25.45	non-lead
				2017	Christopher Plummer	All the Money in the World	25:26:00	25.433	non-lead
				2018	Richard E. Grant	Can You Ever Forgive Me?	31:04:00	31.067	non-lead
				2020	Leslie Odom Jr.	One Night in Miami	54:20:00	54.333	non-lead
				2021	J. K. Simmons	Being the Ricardos	17:04	17.067	non-lead
				2022	Brian Tyree Henry	Causeway	29:32:00	29.533	non-lead
				2023	Sterling K. Brown	American Fiction	16:25	16.417	non-lead
				2023	Robert Downey Jr.	Oppenheimer	23:50	23.833	non-lead
				2023	Ryan Gosling	Barbie	28:59:00	28.983	non-lead
				2023	Mark Ruffalo	Poor Things	31:07:00	31.117	non-lead
				2023	Robert De Niro	Killers of the Flower Moon	47:38:00	47.633	non-lead
				1980	Eva Le Gallienne	Resurrection	13:40	13.667	non-lead
				1980	Diana Scarwid	Inside Moves	23:37	23.617	non-lead
				1981	Joan Hackett	Only When I Laugh	21:15	21.25	non-lead
				1982	Kim Stanley	Frances	21:16	21.267	non-lead
				1982	Glenn Close	The World According to Garp	38:37:00	38.617	non-lead
				1983	Alfre Woodard	Cross Creek	17:42	17.7	non-lead
				1983	Linda Hunt	The Year of Living Dangerously	37:07:00	37.117	non-lead
				1984	Geraldine Page	The Pope of Greenwich Village	6:06	6.1	non-lead
				1984	Christine Lahti	Swing Shift	32:04:00	32.067	non-lead
				1985	Amy Madigan	Twice in a Lifetime	26:28:00	26.467	non-lead
				1987	Ann Sothern	The Whales of August	20:16	20.267	non-lead
				1987	Norma Aleandro	Gaby - A True Story	49:53:00	49.883	non-lead
